donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_el_ultimo_semestre,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,pluriempleo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,vibe_coding,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,cual_es_la_cantidad_maxima_de_entrevistas_que_consideras_aceptable_en_un_proceso_de_seleccion,cual_es_la_combinacion_de_entrevistas_que_consideras_mejor_en_tu_experiencia_como_candidatoa,desafios_tecnicoscomo_los_preferiselegi_todas_las_opciones_que_consideres,cuantas_horas_te_parecen_correctas_dedicarle_a_un_desafio_tecnico_asincronico,cual_de_las_siguientes_frases_representa_mejor_tu_opinion_acerca_de_los_procesos_de_seleccion,salir_o_seguir_contestando_sobre_las_guardias1,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,tengo_edad,genero,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1740000.0,1400000.0,Cobro parte del salario en dólares,1130,Menos de un sueldo,Performance individual,No,0.0,No tuve,3,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,SysAdmin / DevOps / SRE,2,0,0,0,Azure,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,No sé,8,4,Vibequé?,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Sistemas,,Responder sobre guardias,,,,,,,"Sí, pasiva",100000.0,Neto,26,Mujer Cis,Sí,True,Junior,1740000.0
Río Negro,Full-Time,Staff (planta permanente),3100000.0,2700000.0,Cobro parte del salario en dólares,,No,No recibo bono,Uno,15.0,Marzo,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",3,"No, pero escucho ofertas.",,AI,3,3,0,3,"Amazon Web Services, Azure, Docker","Javascript, Python, TypeScript","Next.js, Node.js, React.js, fastapi, langchain, openai-agents",PostgreSQL,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,"si, no hay ajustes hasta nuevo aviso",Sí,7,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,27,Hombre Cis,Sí,True,Semi-Senior,3100000.0
Córdoba,Full-Time,Freelance,5875000.0,4900000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1180,No,No recibo bono,Dos,30.0,Junio,3,Ninguna de las anteriores,3,"No, estoy muy conforme.",,Developer,14,3,3,0,"Google Cloud Platform, Kubernetes, Linux, VMWare, Windows Server",".NET, CSS, HTML, Java, Javascript, PHP, SQL",".NET Core, Angular, Bootstrap, jQuery, Next.js, Node.js, React.js, WordPress","Google Cloud Storage, MariaDB, Microsoft SQL Server, MySQL, PostgreSQL","OpenQA, SoapUI",1 (solamente yo),Híbrido (presencial y remoto),4,,No sé,10,4,Vibequé?,Responder sobre mis estudios,Universitario,Completo,Analista de Computación,UNRC - Universidad Nacional de Río Cuarto,Responder sobre guardias,Entre 2 y 4,"Técnica - Diseño & Arquitectura, Manager directo/a",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,40,Hombre Cis,Sí,True,Senior,5875000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3200000.0,2700000.0,Cobro parte del salario en dólares,1210,3+ sueldos,Mix de las anteriores,No,0.0,No tuve,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Stock options / RSUs",1,"Sí, estoy buscando activamente.",,Manager / Director,5,5,5,60,Ninguna de las anteriores,Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,Sí,6,3,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,39,Hombre Cis,Sí,True,Semi-Senior,3200000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1534000.0,,Cobro todo el salario en dólares,1300,No,No recibo bono,No,0.0,Enero,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,"Sí, estoy buscando activamente.",,Developer,3,3,4,0,Linux,"HTML, Javascript, TypeScript","jQuery, Next.js, Node.js, React.js, WordPress",MongoDB,Jest,De 101 a 200 personas,100% remoto,0,,Sí,4,4,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,26,Mujer Cis,Sí,True,Semi-Senior,1534000.0
Buenos Aires,Full-Time,Contractor,6000000.0,,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",,Developer,16,2,2,0,"Amazon Web Services, Docker, Kubernetes","Javascript, TypeScript","Angular, Bootstrap",MySQL,"Jest, Karma",1 (solamente yo),100% remoto,0,,Sí,7,5,Hype,Terminar encuesta,,,,,,,,,,,,,,,41,Hombre Cis,Sí,True,Senior,6000000.0
Santa Fe,Full-Time,Staff (planta permanente),2900000.0,2450000.0,Cobro parte del salario en dólares,1255,Menos de un sueldo,Performance de la compañía,Más de tres,7.0,Julio,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,20,17,17,0,"Azure, Docker, OpenStack, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),3,no,No,6,2,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,40,Hombre Cis,Sí,True,Senior,2900000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,,Cobro todo el salario en dólares,,No,No recibo bono,Uno,2.0,Abril,2,Descuento en gimnasios / Clases de gimnasia online,1,"Sí, estoy buscando activamente.",,Developer,8,0,0,0,"Amazon Web Services, Docker, Linux","HTML, Java, Javascript, Python","Node.js, React.js, Spark, Spring","MariaDB, MongoDB","JUnit, Postman, Selenium",De 1001 a 2000 personas,100% remoto,0,,No sé,7,5,Hype,Terminar encuesta,,,,,,,,,,,,,,,38,Hombre Cis,Sí,True,Senior,3000000.0
Buenos Aires,Full-Time,Staff (planta permanente),2100000.0,5981704.43,Cobro parte del salario en dólares,1222.36,Menos de un sueldo,Performance de la compañía,Dos,8.0,Marzo,4,Vacaciones flexibles (adicionales a las reglamentarias),4,"No, pero escucho ofertas.",,Manager / Director,10,2,0,5,"Azure, Docker, Kubernetes, Serverless",".NET, C#, Javascript, SQL, TypeScript",".NET Core, Next.js, Node.js, React.js","ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, PostgreSQL, Redis","Appium, Mocha, NUnit, Postman",De 101 a 200 personas,100% remoto,0,ajustes por inflación y por performance,No,7,3,Hype,Responder sobre entrevistas técnicas,,,,,,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura, Manager directo/a","Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Menos de 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,,,,33,Hombre Cis,Sí,True,Senior,2100000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,,Cobro todo el salario en dólares,,Un sueldo,Performance de la compañía,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",2,"No, pero escucho ofertas.",,UX Researcher,3,13,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,,No sé,0,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,39,Mujer Cis,Sí,True,Semi-Senior,3500000.0
Buenos Aires,Full-Time,Contractor,1150000.0,1000000.0,Cobro todo el salario en dólares,Dólar cripto = 1239.50,No,No recibo bono,Dos,34.13,Mayo,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",,Designer,5,0,3,0,Ninguna de las anteriores,"Bash/Shell, CSS, HTML, Javascript, PHP","Bootstrap, Laravel, WordPress, Astro, Tailwind","MySQL, PostgreSQL",Postman,De 2 a 10 personas,100% remoto,0,"Retención de empleados: Daban aumentos cuando intuían que podías renunciar o para convencerte de rechazar otra oferta.
Captación competitiva de talentos: Pagar un poco más por sobre encima de tu sueldo para convencerte de aceptar la oferta.",Sí,8,5,Vibequé?,Responder sobre guardias,Terciario,Completo,Tecnicatura Superior en Programación,,Responder sobre entrevistas técnicas,Entre 2 y 4,"Técnica - Coding, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 6 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,29,Mujer Cis,Sí,True,Semi-Senior,1150000.0
Neuquén,Full-Time,Contractor,3200000.0,3200000.0,Cobro todo el salario en dólares,1280,No,No recibo bono,No,0.0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles",4,"No, estoy muy conforme.",,Developer,3,3,0,0,Amazon Web Services,"CSS, HTML, Javascript, TypeScript","Next.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,No,5,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,35,Hombre Cis,Sí,True,Semi-Senior,3200000.0
Santa Fe,Full-Time,Contractor,2000000.0,1500000.0,Cobro todo el salario en dólares,1250,No,No recibo bono,Uno,20.0,Mayo,3,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,QA / Tester,4,0,0,2,Ninguna de las anteriores,"HTML, Javascript, SQL, TypeScript",Playwright,Ninguna de las anteriores,Playwright,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,10,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,34,Mujer Cis,No,True,Semi-Senior,2000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5215582.0,,Cobro parte del salario en dólares,1185,No,No recibo bono,Uno,8.0,Enero,1,"Abono de Internet, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",,Technical Leader,30,3,1,5,"Docker, Kubernetes, Linux, OpenStack, Serverless","Bash/Shell, Groovy, Python, puppet",Ninguno de los anteriores,"Percona Server, PostgreSQL",Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,"en enero, 8% por inflacion, 10% por performance",Sí,4,4,Hype,Terminar encuesta,,,,,,,,,,,,,,,48,Hombre Cis,Sí,True,Senior,5215582.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000.0,1500000.0,Cobro parte del salario en dólares,Oficial,Menos de un sueldo,Performance individual,No,0.0,Marzo,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Guardería o pago para cubrir costo de guardería",4,"No, estoy muy conforme.",Tengo dos trabajos full time,Infosec,0,0,0,0,Splunk,Splunk,Ninguno,Ninguno,Ninguno,Más de 10000 personas,100% remoto,0,No lo se,No,10,5,Vibequé?,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Informática,Universidad Siglo 21,Terminar encuesta,Entre 2 y 4,"HR, Técnica - Coding, Manager directo/a",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Menos de 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Responder sobre mis estudios,,,,40,Hombre Cis,No,True,Junior,1500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,2600000.0,Cobro parte del salario en dólares,1150,No,No recibo bono,No,0.0,No tuve,2,Comidas pagas / subvencionadas,2,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,3,0,0,0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless","Bash/Shell, Javascript, PHP, Python, R, SQL","jQuery, Node.js, Symfony, TensorFlow","Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Postman,De 51 a 100 personas,Híbrido (presencial y remoto),1,,No,6,3,Hype,Responder sobre entrevistas técnicas,,,,,,Hasta 2,"HR, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, En plataformas tipo HackerRank o similares, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Menos de 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,,,,38,Hombre Cis,Sí,True,Semi-Senior,4000000.0
Buenos Aires,Full-Time,Contractor,2760000.0,2760000.0,Cobro todo el salario en dólares,,Menos de un sueldo,Performance de la compañía,Uno,13.63,Julio,3,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Developer,3,3,2,0,Ninguna de las anteriores,"CSS, HTML, Javascript, Liquid",WordPress,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,"Se pasó a un modo de cobro ""flexible"" - si la empresa pierde 10%, distribuimos la pérdida. Si gana 10%, 5% se ahorran y el resto se distribuye. Hasta ahora hemos cerrado solo arriba o en 0% (o sea, salarios base sin modificación).",No,10,4,Vibequé?,Responder sobre guardias,Universitario,En curso,Licenciatura en Sistemas,UNLP - Universidad Nacional de La Plata,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,"Sí, pasiva",0.0,Neto,37,Mujer Cis,Sí,True,Semi-Senior,2760000.0
Buenos Aires,Full-Time,Staff (planta permanente),2360000.0,2000000.0,Cobro parte del salario en dólares,,Un sueldo,Performance individual,No,0.0,No tuve,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,UX Designer,3,2,2,0,Ninguna de las anteriores,"CSS, HTML, Javascript",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,,Sí,3,3,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,34,Mujer Cis,Sí,True,Semi-Senior,2360000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1908000.0,1750000.0,Mi sueldo está dolarizado (pero cobro en moneda local),,Menos de un sueldo,permanencia en la empresa,Dos,16.0,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,2,2,2,0,"Mainframe, SAP","COBOL, SQL",Mainframe,IBM Db2,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,si,No sé,9,1,Hype,Responder sobre guardias,,,,,,,,,,,,"Sí, pasiva",10.0,Porcentaje de mi sueldo bruto,31,Hombre Cis,Sí,True,Junior,1908000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2159000.0,1950000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",2,"No, pero escucho ofertas.",,QA / Tester,4,0,4,0,"Azure, SAP","C#, CSS, HTML, Java, SQL",Ninguno de los anteriores,Microsoft SQL Server,"Puppeteer, Selenium",De 101 a 200 personas,100% remoto,0,,No,9,4,Hype,Terminar encuesta,,,,,,,,,,,,,,,25,Mujer Cis,No,True,Semi-Senior,2159000.0
Buenos Aires,Full-Time,Contractor,12000000.0,7800000.0,Cobro parte del salario en dólares,,No,No recibo bono,Tres,12.0,Junio,2,Ninguna de las anteriores,4,"No, estoy muy conforme.",,Technical Leader,15,6,6,3,"Docker, Linux, Windows Server","Go, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, jQuery, Node.js, React.js, Yii","MariaDB, Redis","PHPUnit, Postman, Selenium",De 51 a 100 personas,100% remoto,0,,No sé,8,5,Llegó para quedarse,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,Hasta 2,"HR, Técnica - Coding, Técnica - Diseño & Arquitectura",,Menos de 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,No,0.0,Bruto,39,Hombre Cis,Sí,True,Senior,12000000.0
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),8400000.0,7000000.0,Cobro todo el salario en dólares,-,No,No recibo bono,No,0.0,No tuve,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",,Developer,12,2,2,0,"Amazon Web Services, Docker, Kubernetes","Java, SQL",Spring,PostgreSQL,JUnit,De 51 a 100 personas,100% remoto,0,No,No,7,3,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,46,Hombre Cis,Sí,True,Senior,8400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,2000000.0,Cobro parte del salario en dólares,1237,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,Developer,11,4,3,0,Ninguna de las anteriores,C++,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,no,Sí,5,1,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,35,Hombre Cis,Sí,True,Senior,2300000.0
Buenos Aires,Full-Time,Contractor,6262885.0,5262885.0,Cobro todo el salario en dólares,1220,No,No recibo bono,No,0.0,No tuve,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Developer,8,0,0,0,"Amazon Web Services, Docker, Linux","Javascript, Python","Django, React.js",PostgreSQL,pytest,De 201 a 500 personas,100% remoto,0,,Sí,5,5,Hype,Terminar encuesta,,,,,,,,,,,,,,,34,Hombre Cis,Sí,True,Senior,6262885.0
Buenos Aires,Full-Time,Staff (planta permanente),1200000.0,1000000.0,Cobro todo el salario en dólares,1224,No,No recibo bono,No,0.0,No tuve,2,"Vacaciones flexibles (adicionales a las reglamentarias), Osde grupo familiar",2,"Sí, estoy buscando activamente.",,QA / Tester,4,2,1,4,"Amazon Web Services, Linux","CSS, HTML, Java, Javascript, Python, SQL, Bash","Bootstrap, jQuery, Node.js, Spring, Vue.js, Pixi.js","MongoDB, PostgreSQL","Appium, Cucumber, Cypress, JUnit, Postman, Selenium",De 51 a 100 personas,Híbrido (presencial y remoto),2,"No, hace desde abril del 2024 que no se toca el sueldo",Sí,0,4,Hype,Terminar encuesta,,,,,,,,,,,,,,,31,Hombre Cis,No,True,Semi-Senior,1200000.0
Tucumán,Full-Time,Contractor,3750000.0,3400000.0,Cobro todo el salario en dólares,1200,No,No recibo bono,No,0.0,No tuve,3,Ninguna de las anteriores,3,"No, estoy muy conforme.",,Developer,4,2,2,0,Docker,"Javascript, PHP, Python",WordPress,"MySQL, PostgreSQL",ghost,De 2 a 10 personas,100% remoto,0,no,No,8,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,32,Hombre Cis,Sí,True,Semi-Senior,3750000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000.0,3600000.0,Mi sueldo está dolarizado (pero cobro en moneda local),,De uno a tres sueldos,Mix de las anteriores,Uno,14.0,Abril,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Developer,7,6,3,0,Azure,"CSS, HTML, Javascript, TypeScript",Vue.js,"MySQL, PostgreSQL",Jest,De 51 a 100 personas,Híbrido (presencial y remoto),2,,No,7,1,Hype,Terminar encuesta,,,,,,,,,,,,,,,43,Hombre Cis,Sí,True,Senior,6000000.0
Santa Fe,Full-Time,Contractor,5000000.0,,Cobro todo el salario en dólares,1240,No,No recibo bono,No,0.0,No tuve,3,Ninguna de las anteriores,2,"No, pero escucho ofertas.",,Data Engineer,10,0,5,0,Amazon Web Services,"Javascript, Python, SQL, TypeScript",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, MySQL",Postman,De 11  a 50  personas,100% remoto,0,,No,10,5,Llegó para quedarse,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,,,,,,36,Hombre Cis,Sí,True,Senior,5000000.0
Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2054832.0,1828905.0,Cobro parte del salario en dólares,1150,Menos de un sueldo,Performance individual,Uno,5.0,Marzo,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,15,0,0,1,"Docker, OpenShift","Java, Javascript, SQL","Bootstrap, Hibernate, Node.js, React.js, Spring, Vue.js","Microsoft SQL Server, MongoDB, Oracle",JUnit,Más de 10000 personas,100% remoto,0,no hubo incrementos,No sé,9,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,41,Hombre Cis,Sí,True,Senior,2054832.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,,Cobro parte del salario en dólares,,Un sueldo,Performance individual,Uno,15.0,Junio,3,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Lactario en la oficina, Guardería o pago para cubrir costo de guardería",3,"No, pero escucho ofertas.",,Manager / Director,4,6,3,13,"Amazon Web Services, Azure, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),3,,No,9,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,34,Hombre Cis,Sí,True,Semi-Senior,4000000.0
Entre Ríos,Full-Time,Staff (planta permanente),2000000.0,1777000.0,Cobro parte del salario en dólares,,Menos de un sueldo,Performance de la compañía,Uno,8.0,Enero,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Technical Leader,3,3,3,8,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Java, Javascript, SQL, TypeScript","Hibernate, Node.js, React.js, Spring","PostgreSQL, Redis",Postman,De 51 a 100 personas,100% remoto,0,Ajuste por inflación en Enero,Sí,9,5,Vibequé?,Responder sobre mis estudios,Universitario,En curso,Analista Programador Universitario,UAI - Universidad Abierta Interamericana,Responder sobre guardias,"Me da igual, no tengo una opinión al respecto",Técnica - Coding,"Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a","Más de 8 horas, sin problemas",Valoro procesos con entrevistas técnicas complejas.,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,28,Hombre Cis,Sí,True,Semi-Senior,2000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4193974.0,3121105.0,Cobro parte del salario en dólares,1190,De uno a tres sueldos,Performance individual,Uno,8.0,Marzo,2,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Data Scientist,3,3,1,0,"Amazon Web Services, Google Cloud Platform, Serverless",Python,"Flask, Spark, TensorFlow, Torch","ElasticSearch, MySQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,No sé,7,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,26,Hombre Cis,Sí,True,Semi-Senior,4193974.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1400000.0,,Cobro todo el salario en dólares,1180,No,No recibo bono,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",1,"Sí, estoy buscando activamente.",,QA / Tester,7,3,3,0,"Amazon Web Services, Docker","PHP, Python, SQL, TypeScript","Flask, Laravel, Node.js","MongoDB, MySQL, PostgreSQL","Jest, Postman",De 11  a 50  personas,100% remoto,0,No,No,3,3,Hype,Terminar encuesta,,,,,,,,,,,,,,,35,Hombre Cis,No,True,Senior,1400000.0
